Nombre	Tipo	Piezas	Precio
Queso de bola 15p	Pasteles	1	300
Queso de bola 15p rappi	Pasteles rappi	1	310
Queso de bola 20p	Pasteles	1	410
Queso napolitano	Encargo	1	170
Rebanada cajeta con tres leches	Pasteles	1	55
Rebanada cajeta con tres leches rappi	Rebanadas rappi	1	60
Rebanada cheescake americano	Cheescake	1	50
Rebanada cheescake americano rappi 	Rebanadas rappi	1	55
Rebanada cheescake cajeta	Cheescake	1	60
Rebanada cheescake cajeta rappi	Rebanadas rappi	1	65
Rebanada cheescake de la abuela	Cheescake	1	50
Rebanada cheescake de la abuela rappi	Rebanadas rappi	1	55
Rebanada cheescake marmoleado	Cheescake	1	60
Rebanada cheescake marmoleado rappi	Rebanadas rappi	1	65
Rebanada de chocolate helado	Pasteles	1	50
Rebanada de chocolate helado rappi	Rebanadas rappi	1	55
Rebanada de crema de coco	Pasteles	1	50
Rebanada de crema de coco rappi	Rebanadas rappi	1	55
Rebanada de cremoso chocolate	Pasteles	1	45
Rebanada de cremoso chocolate rappi	Rebanadas rappi	1	50
Rebanada de fresa	Pasteles	1	55
Rebanada de fresa rappi	Rebanadas rappi	1	60
Rebanada de fudge marshmallow	Pasteles	1	50
Rebanada de fudge marshmallow rappi	Rebanadas rappi	1	55
Rebanada de fugde	Pasteles	1	50
Rebanada de fugde rappi	Rebanadas rappi	1	55
Rebanada de red velvet	Pasteles	1	70
Rebanada de sanwichon	Individuales	1	45
Rebanada de snickers	Pasteles	1	50
Rebanada marquesita	Pasteles	1	55
Rebanada marquesita rappi	Rebanadas rappi	1	60
Rebanada pan queso de bola	Panaderia	1	50
Rebanada pan queso de bola rappi	Rebanadas rappi	1	55
Rebanada pastel zanahoria	Individuales	1	60
Rebanada pastel zanahoria rappi	Rebanadas rappi	1	65
Rebanada pay de coco	Pays	1	45
Rebanada pay de coco rappi	Rebanadas rappi	1	50
Rebanada pay guayaba	Pays	1	50
Rebanada pay queso	Pays	1	45
Rebanada pay queso rappi 	Rebanadas rappi	1	50
Rebanada queso de bola	Pasteles	1	55
Rebanada queso de bola rappi	Rebanadas rappi	1	60
Rebanada queso napolitano	Individuales	1	55
Rebanada tres leches	Pasteles	1	45
Rebanada tres leches rappi	Rebanadas rappi	1	50
Red velvet 20p	Pasteles	1	450
Rosca brioche	Panaderia	1	180
Rosca brioche nutella	Encargo	1	180
Rosca brioche personalizada	Encargo 	1	200
Rosca brioche rappi	Panaderia rappi	1	190
Salsa Macha	Extras	1	80
Sandwichon	Bocadillos	1	330
Sandwichon hawaiano	Encargo	1	390
Sandwichon rappi	Bocadillos rappi	1	340
Snickers 20p	Pasteles	1	390
Snickers 6p (mini)	Pasteles	1	150
Tres leches 15p	Pasteles	1	225
Tres leches 15p rappi	Pasteles rappi	1	235
Tres leches 20p	Pasteles	1	325
Tres leches 6p (mini)	Pasteles	1	120
Vela número	Velas	1	15
Velas mágicas	Velas	1	40
Velas pasteleras	Velas	1	30
Yucapay	Pays	1	195
Yucapay rappi	Pays rappi	1	205
Zanahoria 20p	Pasteles	1	325
